year,temperature_C
1980,11.076800095921133
1981,10.512437930175192
1982,10.501577263050361
1983,10.378878549288347
1984,11.067820908078707
1985,11.104744788531232
1986,10.493601046553907
1987,10.933947297881648
1988,11.497680808348198
1989,10.659339877569865
1990,11.057542814074683
1991,10.928234804544791
1992,10.793494436543353
1993,11.293585498080446
1994,11.260306179070623
1995,10.85310450480849
1996,10.782025310303347
1997,10.089612829885619
1998,11.351842454506318
1999,11.490654337766486
2000,10.911688815449663
2001,11.277681743442777
2002,10.999369925371207
2003,10.878720772848835
2004,11.349958199862824
2005,11.173605714454961
2006,11.812781163014696
2007,11.473696110795423
2008,11.364228595346576
2009,11.927301479175453
2010,12.007010457683444
2011,11.1479310864501
2012,10.940740581831863
2013,10.965567963925185
2014,10.825490888524365
2015,11.133015459171546
2016,12.365982943909733
2017,12.006212394560224
2018,11.725749327189787
2019,11.150093686801268
2020,11.037757335495328
2021,11.675626080844179
2022,11.903394506814282
2023,11.870064986604136
